Booking ID,User ID,Trek Name,Location,Booking Status,Trek Start Date,Trek End Date,Booked on,No. of Participants
1,2,Mountaining,Vizag,Cancelled,2026-06-21,2026-06-23,2026-06-20 22:43:25,1
2,2,Kommadi Pond,"Kommadi, Vizag",Cancelled,2026-06-28,2026-06-29,2026-06-20 22:43:55,1
3,2,Mountaining,Vizag,Cancelled,2026-06-21,2026-06-23,2026-06-20 22:44:05,1
6,2,Mountaining,Vizag,Cancelled,2026-06-21,2026-06-23,2026-06-21 08:00:29,2
7,2,Mountaining,Vizag,Cancelled,2026-06-21,2026-06-23,2026-06-21 08:00:55,3
8,2,Mountaining,Vizag,Completed,2026-06-21,2026-06-23,2026-06-21 08:02:43,9
9,2,Araku Trek,"Araku, Visakhapatnam",Completed,2026-06-25,2026-06-27,2026-06-25 00:27:30,1
11,2,Lambasingi Trek,"Lambasingi, Visakhapatnam",Completed,2026-06-26,2026-06-27,2026-06-25 00:28:55,1
13,2,Maredumilli Trek,Maredumilliii location,Cancelled,2026-07-02,2026-07-02,2026-07-02 20:24:51,1
14,2,pmpalem,pmpalem,Cancelled,2026-07-01,2026-07-01,2026-07-02 20:36:08,1
15,2,pmpalem,pmpalem,Completed,2026-07-01,2026-07-01,2026-07-02 20:38:22,1
16,2,marikvalsa,vzg,Cancelled,2026-07-11,2026-07-11,2026-07-02 21:03:53,1
19,2,marikvalsa,vzg,Cancelled,2026-07-11,2026-07-11,2026-07-02 22:19:44,2
20,2,marikvalsa,vzg,Cancelled,2026-07-11,2026-07-11,2026-07-02 22:30:22,3
21,2,marikvalsa,vzg,Cancelled,2026-07-11,2026-07-11,2026-07-02 22:30:52,3
22,2,marikvalsa,vzg,Cancelled,2026-07-11,2026-07-11,2026-07-02 22:31:09,4
23,2,marikvalsa,vzg,Cancelled,2026-07-11,2026-07-11,2026-07-02 22:31:18,4
24,2,styleunion,midilapur,Cancelled,2026-07-12,2026-07-12,2026-07-10 02:32:38,1
25,2,test,hik,Cancelled,2026-07-12,2026-07-12,2026-07-11 16:55:43,2
27,2,styleunion,midilapur,Cancelled,2026-07-12,2026-07-12,2026-07-11 18:03:10,1
30,2,marikvalsa,vzg,Cancelled,2026-07-11,2026-07-11,2026-07-11 18:20:02,5
31,2,styleunion,midilapur,Cancelled,2026-07-12,2026-07-12,2026-07-11 18:20:29,1
32,2,marikvalsa,vzg,Cancelled,2026-07-11,2026-07-11,2026-07-11 18:20:42,5
33,2,marikvalsa,vzg,Cancelled,2026-07-11,2026-07-11,2026-07-11 18:26:02,5
34,2,test,gddf,Cancelled,2026-07-12,2026-07-12,2026-07-11 18:30:28,1
35,2,styleunion,midilapur,Booked,2026-07-12,2026-07-12,2026-07-11 18:35:03,1
36,2,marikvalsa,vzg,Booked,2026-07-11,2026-07-11,2026-07-11 18:37:24,4
